('http://www.cnblogs.com/jiaolian/', '[叫练]')
('http://www.cnblogs.com/rossiXYZ/', '[罗西的思考]')
('http://www.cnblogs.com/linzm14/', '[十四lin]')
('http://www.cnblogs.com/scada/', '[陈小房]')
('http://www.cnblogs.com/bbgs-xc/', '[MXC肖某某]')
('http://www.cnblogs.com/lulight/', '[路边两盏灯]')
('http://www.cnblogs.com/Steven-HU/', '[Er_HU]')
('http://www.cnblogs.com/amap_tech/', '[高德技术]')
('http://www.cnblogs.com/gonghr/', '[gonghr]')
('http://www.cnblogs.com/frontworld/', '[前端新世界]')
('http://www.cnblogs.com/spzmmd/', '[晴天天天蓝]')
('http://www.cnblogs.com/liangjiangjun/', '[梁江俊]')
('http://www.cnblogs.com/xiaoshun-mjj/', '[Lu-顺]')
('http://www.cnblogs.com/fitzlovecode/', '[虚伪渲染敷衍]')
('http://www.cnblogs.com/MaNongWorld/', '[MaNongWorld]')
('http://www.cnblogs.com/deali/', '[曦远]')
('http://www.cnblogs.com/leozhanggg/', '[LeoZhanggg]')
('http://www.cnblogs.com/qindy/', '[云霄宇霁]')
('http://www.cnblogs.com/scofield666/', '[空壳先生]')
('http://www.cnblogs.com/ice-image/', '[ice_image]')
('http://www.cnblogs.com/erhuoweirdo/', '[EhuoWeirdo]')
('http://www.cnblogs.com/sunbr/', '[孙晨c]')
('http://www.cnblogs.com/huaweiyun/', '[华为云开发者社区]')
('http://www.cnblogs.com/didispace/', '[程序猿DD]')
('http://www.cnblogs.com/DTinsight/', '[数栈DTinsight]')
('http://www.cnblogs.com/smark/', '[beetlex]')
('http://www.cnblogs.com/hwahe/', '[hwa]')
('http://www.cnblogs.com/coco1s/', '[ChokCoco]')
('http://www.cnblogs.com/miki-peng/', '[miki_peng]')
('http://www.cnblogs.com/wuhuacong/', '[伍华聪]')
('http://www.cnblogs.com/Rohn/', '[不羁的罗恩]')
('http://www.cnblogs.com/flydean/', '[flydean]')
('http://www.cnblogs.com/jackson0714/', '[悟空聊架构]')
('http://www.cnblogs.com/bigdatalearnshare/', '[大数据学习与分享]')
('http://www.cnblogs.com/zoe-zyq/', '[Code综艺圈]')
('http://www.cnblogs.com/zhouxin/', '[天天不在]')
('http://www.cnblogs.com/codists/', '[codists]')
('http://www.cnblogs.com/ireadme/', '[码农读书]')
('http://www.cnblogs.com/lwen/', '[徐笔笔]')
('http://www.cnblogs.com/henjay724/', '[痞子衡]')
('http://www.cnblogs.com/chuganghong/', '[东垂小夫]')
('http://www.cnblogs.com/jiangweiping/', '[蒋伟平]')
('http://www.cnblogs.com/liuxiaochong/', '[早起的小虫子]')
('http://www.cnblogs.com/xinxue/', '[烟雨萧萧竹]')
('http://www.cnblogs.com/shaonianpi/', '[少年π]')
('http://www.cnblogs.com/cnnullptr/', '[C_nullptr]')
('http://www.cnblogs.com/TJ21/', '[雨听风说]')
('http://www.cnblogs.com/data-magnifier/', '[柯广]')
('http://www.cnblogs.com/iFrank/', '[流星斩月]')
('http://www.cnblogs.com/MichaelLoveSna/', '[鑫茂]')
('http://www.cnblogs.com/praying/', '[Praying]')
('http://www.cnblogs.com/jiaolian/', '[叫练]')
('http://www.cnblogs.com/ginkgo-/', '[CodeDancing]')
('http://www.cnblogs.com/lihuimingxs/', '[西狩]')
('http://www.cnblogs.com/pengjiali/', '[彭加李]')
('http://www.cnblogs.com/lulight/', '[路边两盏灯]')
('http://www.cnblogs.com/xingag/', '[AirPython]')
('http://www.cnblogs.com/yitter/', '[yitter]')
('http://www.cnblogs.com/zhujiqian/', '[朱季谦]')
('http://www.cnblogs.com/codesee/', '[编码者频道]')
('http://www.cnblogs.com/jiakecong/', '[Silent丿丶黑羽]')
('http://www.cnblogs.com/feffery/', '[费弗里]')
('http://www.cnblogs.com/yumaster/', '[土伦]')
('http://www.cnblogs.com/rangers-sun/', '[列兵许三多]')
('http://www.cnblogs.com/xiongze520/', '[熊泽-学习中的苦与乐]')
('http://www.cnblogs.com/enjoyall/', '[泥粑]')
('http://www.cnblogs.com/miki-peng/', '[miki_peng]')
('http://www.cnblogs.com/xiaxveliang/', '[xiaxveliang]')
('http://www.cnblogs.com/yif0118/', '[人无名，则可专心练剑]')
('http://www.cnblogs.com/zzfstudy/', '[FreeTimeWorker]')
('http://www.cnblogs.com/HarmonyOS/', '[HarmonyOS技术社区]')
('http://www.cnblogs.com/luoyuhao/', '[气宇轩昂_2017]')
('http://www.cnblogs.com/Yesi/', '[E-iceblue]')
('http://www.cnblogs.com/chenqiAaron/', '[陈琦聊测试]')
('http://www.cnblogs.com/fjrgg/', '[是冯吉荣呀]')
('http://www.cnblogs.com/tong-yuan/', '[彤哥读源码]')
('http://www.cnblogs.com/cloud-/', '[-云-]')
('http://www.cnblogs.com/WilsonPan/', '[WilsonPan]')
('http://www.cnblogs.com/SavionZhang/', '[张传宁]')
('http://www.cnblogs.com/hez2010/', '[hez2010]')
('http://www.cnblogs.com/ice-image/', '[ice_image]')
('http://www.cnblogs.com/taosdata/', '[涛思数据TDengine]')
('http://www.cnblogs.com/Damaer/', '[第十六封]')
('http://www.cnblogs.com/FreeBSD-CN/', '[FreeBSD中文社区]')
('http://www.cnblogs.com/rickiyang/', '[rickiyang]')
('http://www.cnblogs.com/xunweidezui/', '[冷雨夜我不想家]')
('http://www.cnblogs.com/wuhuacong/', '[伍华聪]')
('http://www.cnblogs.com/scofield666/', '[空壳先生]')
('http://www.cnblogs.com/hairless/', '[想植发先秃头]')
('http://www.cnblogs.com/cswiki/', '[飞天小牛肉]')
('http://www.cnblogs.com/huaweiyun/', '[华为云开发者社区]')
('http://www.cnblogs.com/root429/', '[java金融]')
('http://www.cnblogs.com/mchao/', '[咸鱼翻身？]')
('http://www.cnblogs.com/chiaki/', '[Chiakiiii]')
('http://www.cnblogs.com/tanxingjisuan/', '[弹性计算百晓生]')
('http://www.cnblogs.com/Doyoung/', '[咸鱼Doyoung]')
('http://www.cnblogs.com/zhangyinhua/', '[LanceToBigData]')
('http://www.cnblogs.com/bigsai/', '[bigsai]')
('http://www.cnblogs.com/greyzeng/', '[Grey Zeng]')
('http://www.cnblogs.com/rangers-sun/', '[列兵许三多]')
('http://www.cnblogs.com/PythonLearner/', '[忽逢桃林]')
('http://www.cnblogs.com/VideoCloudTech/', '[阿里云视频云]')
('http://www.cnblogs.com/sijidou/', '[sijidou]')
('http://www.cnblogs.com/songsongsun/', '[皮皮松]')
('http://www.cnblogs.com/foxhappy/', '[三十三重天]')
('http://www.cnblogs.com/linzm14/', '[十四lin]')
('http://www.cnblogs.com/JavaArchitect/', '[hsm_computer]')
('http://www.cnblogs.com/hhhnicvscs/', '[码农译站]')
('http://www.cnblogs.com/haozi0804/', '[wuch]')
('http://www.cnblogs.com/yan7/', '[莫问今朝·]')
('http://www.cnblogs.com/JulianHuang/', '[_小码甲]')
('http://www.cnblogs.com/pengdai/', '[pdai]')
('http://www.cnblogs.com/xueweihan/', '[削微寒]')
('http://www.cnblogs.com/wzh2010/', '[翁智华]')
('http://www.cnblogs.com/kylewilson/', '[几何思维]')
('http://www.cnblogs.com/LiuGuozhu/', '[刘国柱老师]')
